pickup_node_id,dropoff_node_id,pickup_time_since_midnight,dropoff_time_since_midnight,chain_id,chain_order
5897,595,14760,14824,0,0
5839,595,14790,15341,0,1
236,595,15060,15584,0,2
5839,595,15300,15851,0,3
5897,595,15330,15394,0,4
933,595,15360,15901,0,5
236,595,15900,16424,0,6
5586,595,17400,17677,0,7
229,2898,18900,19169,0,8
5123,8175,18930,19152,0,9
4666,8175,19800,19962,0,10
9147,8537,20700,21345,0,11
6683,225,21600,22550,0,12
1309,1695,22500,22874,0,13
6532,6274,22530,23113,0,14
6950,1695,22560,22877,0,15
8327,1695,22800,23074,0,16
1553,8603,23400,24357,0,17
1905,10243,23430,23543,0,18
7778,6204,23460,23905,0,19
5139,4446,26100,26634,0,20
8879,1446,26400,27324,0,21
225,8603,27000,27242,0,22
8773,5097,27030,27635,0,23
2771,1779,27060,27779,0,24
2770,3603,27090,27402,0,25
2770,3996,27600,27771,0,26
8262,4638,27900,28795,0,27
2770,3996,27930,28101,0,28
8603,2787,27960,28607,0,29
6955,2787,28800,29283,0,30
6464,9895,28830,29799,0,31
6027,5097,28860,29233,0,32
3983,4709,28890,29193,0,33
5468,9500,28920,29297,0,34
4358,1446,28950,30133,0,35
8796,3741,29700,30248,0,36
1045,4650,29730,29807,0,37
1607,1098,29760,29885,0,38
4082,8179,29790,30936,0,39
2629,1695,29820,29949,0,40
4358,1446,29850,31033,0,41
595,3931,30600,31036,0,42
4541,6106,30630,31104,0,43
4819,8263,30660,30816,0,44
3983,2605,32400,32653,0,45
6997,3000,32430,32486,0,46
1857,517,32460,33401,0,47
3780,9442,32490,32926,0,48
2743,4641,33300,33794,0,49
3983,2605,33330,33583,0,50
2960,2898,33360,33582,0,51
2385,4647,33390,33444,0,52
5139,928,33420,34283,0,53
8259,2898,33450,33749,0,54
7132,595,33480,33964,0,55
8410,7875,33510,34704,0,56
6150,4446,33600,33878,0,57
2770,8507,34200,34843,0,58
5230,595,34230,34312,0,59
8603,9895,34260,34856,0,60
2493,9224,34290,35248,0,61
4500,4650,34320,34504,0,62
8263,855,34350,34753,0,63
2012,4641,34380,34739,0,64
5748,7953,35100,35395,0,65
3442,10317,35130,35216,0,66
790,10317,35160,35516,0,67
1987,595,35190,35256,0,68
4311,595,35220,35372,0,69
7778,7925,35250,35404,0,70
206,1726,35280,36595,0,71
5715,8175,35310,35461,0,72
7777,1190,36000,36459,0,73
5721,4671,36030,36540,0,74
5103,225,36060,36914,0,75
2135,225,36900,37439,0,76
4925,1857,36930,37210,0,77
8175,4666,36960,37122,0,78
4707,944,36990,37927,0,79
8175,5856,37020,37604,0,80
5963,2562,37200,37567,0,81
595,2726,37500,38037,0,82
1594,2898,37800,38165,0,83
595,933,37830,38337,0,84
4650,1789,37860,38261,0,85
4641,9775,37890,38117,0,86
4414,3741,37920,38388,0,87
4638,4819,38400,39468,0,88
8773,6383,39600,39840,0,89
3878,1190,39630,40004,0,90
4638,2305,39660,40251,0,91
225,1987,39690,40326,0,92
4925,921,39720,40301,0,93
5477,10243,39750,40301,0,94
7132,4650,39780,40048,0,95
1695,6950,40500,40815,0,96
4925,921,40530,41111,0,97
10243,1905,43200,43300,0,98
3152,5971,43230,43680,0,99
228,2091,43260,44759,0,100
1917,3287,43290,43645,0,101
4795,2387,43320,44461,0,102
225,8663,43350,44093,0,103
3158,9715,44100,44290,0,104
4707,769,44130,44479,0,105
10111,8879,44160,44321,0,106
2882,1695,44190,44399,0,107
10393,4707,44220,44647,0,108
2634,1993,44250,45221,0,109
1779,2771,44280,45024,0,110
2180,5971,44310,44982,0,111
5839,4638,44340,44602,0,112
4671,6151,44400,44943,0,113
8013,10484,45000,45664,0,114
6950,925,45030,45917,0,115
7778,6541,45060,45493,0,116
6384,8663,45090,45808,0,117
6411,8215,45120,46045,0,118
3152,8263,45150,45344,0,119
4648,1784,45600,45953,0,120
6950,925,45900,46787,0,121
6457,1576,46200,47142,0,122
8263,4819,46800,46954,0,123
1190,1685,46830,47204,0,124
3063,2493,46860,47264,0,125
5468,2542,46890,47679,0,126
7114,928,46920,47246,0,127
4638,9284,46950,48001,0,128
10455,4927,46980,48002,0,129
6106,573,47010,48543,0,130
1695,2629,47040,47169,0,131
4638,9284,47400,48451,0,132
3013,2382,47700,48135,0,133
7778,4639,47730,47975,0,134
4650,4313,48000,48457,0,135
928,7114,48600,48934,0,136
4641,2012,48630,49038,0,137
9895,6464,48660,49626,0,138
1917,3287,48690,49045,0,139
2605,4709,48720,49193,0,140
3165,4707,48750,49412,0,141
6204,9284,49320,50543,0,142
5714,595,49500,49864,0,143
225,8663,49530,50273,0,144
4650,4313,49560,50017,0,145
4671,2932,49590,50123,0,146
1695,2629,49920,50049,0,147
595,4311,50400,50552,0,148
4089,7127,50430,50778,0,149
5097,8773,50460,51065,0,150
1446,4358,50490,51656,0,151
1917,3287,50520,50875,0,152
4650,1045,50550,50627,0,153
595,7132,50580,51064,0,154
5097,6950,50610,51419,0,155
2679,595,50640,50907,0,156
5097,6027,50700,51073,0,157
2679,595,51300,51567,0,158
4641,2012,51330,51738,0,159
7450,595,51360,51450,0,160
2605,3983,51390,51592,0,161
1188,9170,51420,52161,0,162
5736,1680,51450,51795,0,163
1183,4259,52200,52594,0,164
2605,3983,52230,52432,0,165
1446,4358,52260,53426,0,166
925,7893,52290,53095,0,167
1446,5097,52320,52768,0,168
5963,6177,52350,52824,0,169
1693,7855,52380,53491,0,170
8001,5468,52500,53016,0,171
5688,8259,53100,53448,0,172
4671,3376,53130,53730,0,173
10243,7855,53160,54122,0,174
4035,9284,54000,55415,0,175
1446,4358,54600,55766,0,176
2898,2960,54900,55122,0,177
6817,4637,54930,55298,0,178
8537,9147,55800,56442,0,179
308,2810,55830,56613,0,180
3640,3996,55860,56247,0,181
2898,5654,55890,56290,0,182
2898,1941,55920,56326,0,183
6817,4637,55950,56318,0,184
8958,4794,55980,56895,0,185
4669,2882,56100,56913,0,186
4927,7855,56400,57070,0,187
3996,2770,56700,56871,0,188
10317,3442,56730,56816,0,189
4927,1704,58200,59113,0,190
2898,1941,58260,58666,0,191
4446,5139,59400,59934,0,192
2787,8141,59430,60548,0,193
2787,6955,59460,59943,0,194
1446,8879,59490,60462,0,195
3603,8958,59520,60534,0,196
2787,4358,59550,60278,0,197
1831,5230,59580,59770,0,198
8179,4082,60300,61399,0,199
8879,10111,61200,61361,0,200
4707,10393,61230,61658,0,201
9010,3136,62100,63001,0,202
1857,4925,62130,62469,0,203
1857,4925,63000,63339,0,204
8879,10111,63030,63191,0,205
2581,5468,72000,72151,0,206
225,5103,72030,72887,0,207
3828,7855,75600,76200,0,208
8603,225,76500,76742,0,209
236,595,15060,15584,1,0
5839,595,15300,15851,1,1
5897,595,15330,15394,1,2
3053,595,16200,16442,1,3
3053,595,16800,17042,1,4
3053,595,17100,17342,1,5
5123,8175,18900,19122,1,6
5856,8175,19800,20358,1,7
9147,8537,20700,21345,1,8
1309,1695,22500,22874,1,9
6532,6274,22530,23113,1,10
1195,8958,24300,24891,1,11
7573,6639,26100,26591,1,12
8879,1446,26400,27324,1,13
1704,4927,27000,27914,1,14
6361,2887,27030,27251,1,15
8773,5097,27060,27665,1,16
7127,6431,27090,28020,1,17
9284,6204,27900,29096,1,18
6382,5097,27930,28267,1,19
3996,7953,28800,29359,1,20
9284,4638,28830,29925,1,21
5216,6313,28860,29634,1,22
3287,1917,28890,29263,1,23
7026,7875,29700,30026,1,24
2321,4639,29730,30253,1,25
595,3746,30600,30757,1,26
4819,8263,30630,30786,1,27
3152,6204,32400,33059,1,28
7777,3896,32430,32698,1,29
6541,7778,32460,32892,1,30
5718,10686,33300,34035,1,31
3545,7919,33330,33903,1,32
3878,1190,33360,33734,1,33
2385,4647,33390,33444,1,34
3955,8175,33420,33961,1,35
4313,4650,33450,33906,1,36
3983,2605,33480,33733,1,37
4292,4649,33510,33953,1,38
2012,4641,33540,33899,1,39
10496,8263,33570,33752,1,40
7132,595,33600,34084,1,41
4638,8266,34200,34484,1,42
1704,3418,34230,34928,1,43
4500,4650,34260,34444,1,44
5715,8175,34290,34441,1,45
5230,595,34320,34402,1,46
6541,7778,34350,34782,1,47
4311,595,35100,35252,1,48
5715,8175,35130,35281,1,49
1526,7961,35160,35831,1,50
3442,10317,35190,35276,1,51
5799,5736,35400,35775,1,52
7953,3996,36000,36570,1,53
769,4649,36030,36394,1,54
8485,6431,36060,36213,1,55
7778,7893,36090,36845,1,56
8473,4707,36120,36639,1,57
595,5897,36900,36964,1,58
5103,225,36930,37784,1,59
10484,8663,36960,37011,1,60
8175,4666,36990,37152,1,61
4638,3063,37020,37632,1,62
3063,8764,37050,37498,1,63
9511,6683,37080,37456,1,64
10718,225,37110,37964,1,65
4259,2536,37140,37427,1,66
595,3931,37800,38236,1,67
595,5839,37830,38413,1,68
921,9511,37860,37923,1,69
1607,602,37890,38130,1,70
4414,3741,38700,39168,1,71
2898,229,39600,39876,1,72
1695,6950,39630,39945,1,73
9284,10638,39660,40145,1,74
1695,1309,39690,40061,1,75
4638,3685,40200,41266,1,76
3136,9010,40500,41426,1,77
5718,10686,40530,41265,1,78
1780,4918,40560,40906,1,79
1695,6950,40590,40905,1,80
9442,3780,42000,42440,1,81
6204,3381,42300,42499,1,82
2382,6328,42600,43350,1,83
4855,1704,43800,44394,1,84
10111,8879,44100,44261,1,85
10455,6950,44130,44363,1,86
10393,4707,44160,44587,1,87
4638,9224,44400,45216,1,88
4691,4865,44430,44985,1,89
5650,4638,45000,46031,1,90
8216,5758,45030,45232,1,91
1917,3287,45060,45415,1,92
3957,4638,45900,46272,1,93
6204,9284,46800,48023,1,94
1496,2493,46830,47033,1,95
6839,8648,46860,47810,1,96
10243,1905,46890,46990,1,97
10180,5468,46920,46976,1,98
6106,7776,46950,47187,1,99
1695,2629,46980,47109,1,100
10087,7026,47010,47429,1,101
4691,4865,47040,47595,1,102
8764,3063,47100,47571,1,103
8847,10496,47400,48450,1,104
7875,8410,47700,48882,1,105
4641,3955,47730,48225,1,106
1917,3287,47760,48115,1,107
4536,4638,47790,48222,1,108
7026,10087,47820,48240,1,109
7875,8410,48000,49182,1,110
4641,3955,48600,49095,1,111
3972,3122,48630,48806,1,112
3741,8796,48660,49206,1,113
6701,6204,48690,49393,1,114
602,1607,48720,48961,1,115
5714,595,49500,49864,1,116
5468,7875,49530,49945,1,117
1098,1607,50100,50225,1,118
5097,6027,50400,50773,1,119
595,5230,50430,50512,1,120
6274,6532,50460,51043,1,121
6383,7184,50490,51121,1,122
4650,8518,50520,50652,1,123
5097,8773,50550,51155,1,124
1098,1607,50580,50705,1,125
7450,595,50610,50700,1,126
4089,7127,51300,51648,1,127
1693,7855,51330,52441,1,128
6274,6532,51360,51943,1,129
9954,5897,51390,51533,1,130
2679,595,51420,51687,1,131
2382,3063,51450,51552,1,132
595,1987,51480,51546,1,133
9895,6464,52200,53166,1,134
10484,8013,52230,52894,1,135
4446,5139,52260,52794,1,136
4870,6094,52290,52817,1,137
9053,152,52320,52827,1,138
4446,6150,52350,52628,1,139
10686,3381,52380,53206,1,140
1726,10455,53100,53208,1,141
9247,9147,54000,54037,1,142
5550,1678,54900,55565,1,143
8958,4794,54930,55845,1,144
5912,4925,54960,55720,1,145
6431,7127,54990,55919,1,146
4536,4638,55020,55452,1,147
1190,4078,55800,56129,1,148
10317,6884,55830,56119,1,149
6817,4637,55860,56228,1,150
4650,4500,55890,56074,1,151
4536,4638,55920,56352,1,152
8537,9147,55950,56592,1,153
3996,2770,55980,56151,1,154
5455,6839,56010,56662,1,155
1726,8266,56700,57628,1,156
10317,3442,56730,56816,1,157
4638,2634,57600,58656,1,158
4670,9284,57630,58812,1,159
2311,5291,57660,58195,1,160
4638,5826,58440,59123,1,161
2887,6361,59400,59640,1,162
2787,8603,59430,60062,1,163
2787,4358,59460,60188,1,164
2787,8141,59490,60608,1,165
1831,5230,59520,59710,1,166
2787,6955,59550,60033,1,167
1726,8266,59580,60508,1,168
1446,8879,59610,60582,1,169
9895,6464,59640,60606,1,170
4707,10393,61200,61628,1,171
1857,4925,63000,63339,1,172
8879,7651,63030,63711,1,173
595,7450,63900,63990,1,174
9895,8603,66600,67215,1,175
595,2679,67500,67767,1,176
8179,4082,69300,70399,1,177
922,5468,69330,69746,1,178
4855,9147,69360,69592,1,179
9715,3158,70200,70390,1,180
225,3891,72900,73904,1,181
5839,595,15000,15551,2,0
3053,595,16200,16442,2,1
3931,595,16500,16921,2,2
3053,595,16800,17042,2,3
3053,595,17100,17342,2,4
5586,595,18000,18277,2,5
4666,8175,19800,19962,2,6
3498,1695,20700,21458,2,7
