time,car_id,node_id,arrival_time,load,travel_time,early_arrival,node,type,chain_order
15000,1,3607,0.0,0.0,159.639465,0,2,S,-1
15000,1,229,18000.0,1.0,262.489838,18000,0,P,0
15000,1,2898,18269.0,0.0,415.316132,18269,1,D,0
15000,2,3607,0.0,0.0,14.030131,0,3,S,-1
15000,3,3607,0.0,0.0,14.030131,0,4,S,-1
15000,4,3607,0.0,0.0,14.030131,0,5,S,-1
15000,5,3607,0.0,0.0,14.030131,0,6,S,-1
15900,1,3607,15300.0,0.0,14.030131,15300,4,S,-1
15900,2,3607,15300.0,0.0,14.030131,15300,5,S,-1
15900,3,3607,15300.0,0.0,14.030131,15300,6,S,-1
15900,4,3607,15300.0,0.0,14.030131,15300,7,S,-1
15900,5,3607,15300.0,0.0,159.639465,15300,8,S,-1
15900,5,229,18000.0,1.0,326.216156,18000,1,P,0
15900,5,5346,18900.0,2.0,803.520203,18900,0,P,1
15900,5,2898,19704.520202999985,1.0,16.776665,18978,2,D,1
15900,5,2898,19722.296867999976,0.0,415.316132,18269,3,D,0
19500,1,3607,16200.0,0.0,14.030131,16200,6,S,-1
19500,2,3607,16200.0,0.0,14.030131,16200,7,S,-1
19500,3,3607,16200.0,0.0,14.030131,16200,8,S,-1
19500,4,3607,16200.0,0.0,159.639465,16200,9,S,-1
19500,4,229,18000.0,1.0,326.216156,18000,2,P,0
19500,4,5346,18900.0,2.0,803.520203,18900,1,P,1
19500,4,2898,19704.520202999985,1.0,16.776665,18978,4,D,1
19500,4,2898,19722.296867999983,0.0,1222.88623,18269,5,D,0
19500,4,1905,22500.0,1.0,94.166222,22500,0,P,2
19500,4,10243,22613.0,0.0,389.956604,22613,3,D,2
19500,5,3607,16200.0,0.0,14.030131,16200,10,S,-1
22200,1,3607,19800.0,0.0,14.030131,19800,4,S,-1
22200,2,3607,19800.0,0.0,14.030131,19800,5,S,-1
22200,3,3607,19800.0,0.0,14.030131,19800,6,S,-1
22200,4,2898,19800.0,0.0,1222.88623,19800,7,S,-1
22200,4,1905,22500.0,1.0,94.166222,22500,1,P,2
22200,4,10243,22613.0,0.0,903.796753,22613,3,D,2
22200,4,5139,25200.0,1.0,524.517883,25200,0,P,3
22200,4,4446,25734.0,0.0,525.643433,25734,2,D,3
22200,5,3607,19800.0,0.0,14.030131,19800,8,S,-1
22500,1,3607,22500.0,0.0,14.030131,22500,6,S,-1
22500,2,3607,22500.0,0.0,14.030131,22500,7,S,-1
22500,3,3607,22500.0,0.0,14.030131,22500,8,S,-1
22500,4,1905,22500.0,0.0,19.476873,22500,9,S,-1
22500,4,1905,22520.476873000007,1.0,94.166222,22500,2,P,2
22500,4,10243,22615.643095000007,0.0,840.691162,22613,5,D,2
22500,4,8879,25500.0,1.0,748.687012,25500,0,P,4
22500,4,5139,26249.687012,2.0,524.517883,25200,1,P,3
22500,4,4446,26775.20489499999,1.0,482.51709,25734,4,D,3
22500,4,1446,27258.72198499999,0.0,399.258453,26424,3,D,4
22500,5,3607,22500.0,0.0,14.030131,22500,10,S,-1
23100,1,3607,22800.0,0.0,14.030131,22800,6,S,-1
23100,2,3607,22800.0,0.0,14.030131,22800,7,S,-1
23100,3,3607,22800.0,0.0,764.100952,22800,8,S,-1
23100,3,8879,25500.0,1.0,748.687012,25500,1,P,4
23100,3,5139,26249.687012,2.0,524.517883,25200,2,P,3
23100,3,4446,26775.204894999977,1.0,482.51709,25734,5,D,3
23100,3,1446,27258.721984999953,0.0,399.258453,26424,4,D,4
23100,4,10243,22800.0,0.0,457.103485,22800,9,S,-1
23100,4,6361,26100.0,1.0,259.266235,26100,0,P,5
23100,4,2887,26360.266235000003,0.0,171.3526,26321,3,D,5
23100,5,3607,22800.0,0.0,14.030131,22800,10,S,-1
23400,1,3607,23400.0,0.0,14.030131,23400,10,S,-1
23400,2,3607,23400.0,0.0,764.100952,23400,11,S,-1
23400,2,8879,25500.0,1.0,481.322784,25500,3,P,4
23400,2,8773,26160.0,2.0,388.392365,26160,1,P,7
23400,2,5139,26549.392365000003,3.0,524.517883,25200,4,P,3
23400,2,4446,27074.910247999982,2.0,482.51709,25734,9,D,3
23400,2,1446,27558.42733799995,1.0,285.426605,26424,8,D,4
23400,2,2770,27844.85394299992,2.0,305.334534,26130,0,P,6
23400,2,3603,28151.18847699987,1.0,363.536652,26442,5,D,6
23400,2,5097,28515.725128999795,0.0,160.429092,26765,6,D,7
23400,3,3607,23400.0,0.0,14.030131,23400,12,S,-1
23400,4,10243,23400.0,0.0,457.103485,23400,13,S,-1
23400,4,6361,26100.0,1.0,259.266235,26100,2,P,5
23400,4,2887,26360.266235000003,0.0,171.3526,26321,7,D,5
23400,5,3607,23400.0,0.0,14.030131,23400,14,S,-1
24000,1,3607,23700.0,0.0,14.030131,23700,12,S,-1
24000,2,3607,23700.0,0.0,14.030131,23700,13,S,-1
24000,3,3607,23700.0,0.0,411.352966,23700,14,S,-1
24000,3,2770,26130.0,1.0,529.354736,26130,1,P,6
24000,3,6361,26660.354735999994,2.0,259.266235,26100,3,P,5
24000,3,2887,26920.620971000004,1.0,57.152328,26321,9,D,5
24000,3,3603,26978.773299,0.0,115.467094,26442,7,D,6
24000,4,10243,23700.0,0.0,840.691162,23700,15,S,-1
24000,4,8879,25500.0,1.0,481.322784,25500,4,P,4
24000,4,8773,26569.11649300002,2.0,388.392365,26160,2,P,7
24000,4,5139,26958.508858000023,3.0,524.517883,25200,5,P,3
24000,4,4446,27484.026741000016,2.0,482.51709,25734,11,D,3
24000,4,1446,27967.543831000014,1.0,340.013916,26424,10,D,4
24000,4,2544,28308.55774700001,2.0,173.161163,27000,0,P,8
24000,4,6114,28482.71891,1.0,81.28109,27166,6,D,8
24000,4,5097,28565.0,0.0,160.429092,26765,8,D,7
24000,5,3607,23700.0,0.0,14.030131,23700,16,S,-1
24300,1,3607,24300.0,0.0,250.335678,24300,16,S,-1
24300,1,2544,27000.0,1.0,173.161163,27000,2,P,8
24300,1,6114,27174.16116118302,0.0,532.541565,27166,10,D,8
24300,1,6361,27860.73376500437,1.0,259.266235,26100,5,P,5
24300,1,2887,28121.0,0.0,171.3526,26321,13,D,5
24300,2,3607,24300.0,0.0,764.100952,24300,17,S,-1
24300,2,8879,25500.0,1.0,748.687012,25500,6,P,4
24300,2,5139,26249.687012,2.0,524.517883,25200,7,P,3
24300,2,4446,26775.20489499999,1.0,482.51709,25734,15,D,3
24300,2,1446,27258.72198499999,0.0,285.426605,26424,14,D,4
24300,2,2770,27545.14858999999,1.0,7.310037,26130,3,P,6
24300,2,2770,27553.458626999993,2.0,164.158798,27030,0,P,9
24300,2,3996,27718.617424999997,1.0,148.553665,27201,8,D,9
24300,2,3603,27868.171089999996,0.0,115.467094,26442,11,D,6
24300,3,3607,24300.0,0.0,14.030131,24300,18,S,-1
24300,4,10243,24300.0,0.0,732.527283,24300,19,S,-1
24300,4,8603,27060.0,1.0,352.878235,27060,1,P,10
24300,4,8773,27413.87823499998,2.0,558.944092,26160,4,P,7
24300,4,2787,27973.822326999987,0.9999990913524239,379.269989,27707,9,D,10
24300,4,5097,28354.090683128397,0.0,160.429092,26765,12,D,7
24300,5,3607,24300.0,0.0,14.030131,24300,20,S,-1
24900,1,3607,24600.0,0.0,14.030131,24600,18,S,-1
24900,2,3607,24600.0,0.0,764.100952,24600,19,S,-1
